"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10307","Should user check single checkbox","chromium","Wed Jul 09 08:55:16 WIB 2025","passed","Wed Jul 09 08:55:27 WIB 2025","","check-and-uncheck.spec.ts","",""
"","6186","Should user see floating menu upon page scroll","Microsoft Edge","Wed Jul 09 08:56:37 WIB 2025","passed","Wed Jul 09 08:56:43 WIB 2025","","close-modal-and-floating-menu-presence.spec.ts","",""
"","4330","Should user is able to upload file","Microsoft Edge","Wed Jul 09 08:56:59 WIB 2025","passed","Wed Jul 09 08:57:03 WIB 2025","","upload-download-file.spec.ts","",""
"","3907","Should login using valid credential","chromium","Wed Jul 09 08:55:45 WIB 2025","passed","Wed Jul 09 08:55:49 WIB 2025","","login-with-valid-and-invalid-credentials.spec.ts","",""
"","4418","Should reveal second name and profile link upon image hover","Mobile Chrome","Wed Jul 09 08:56:09 WIB 2025","passed","Wed Jul 09 08:56:13 WIB 2025","","hover-and-slider.spec.ts","",""
"","4399","Should handle js confirm type correctly","Mobile Chrome","Wed Jul 09 08:56:04 WIB 2025","passed","Wed Jul 09 08:56:09 WIB 2025","","handle-alert.spec.ts","",""
"","5531","Should reveal first name and profile link upon image hover","Microsoft Edge","Wed Jul 09 08:56:49 WIB 2025","passed","Wed Jul 09 08:56:54 WIB 2025","","hover-and-slider.spec.ts","",""
"","4281","Should reveal second name and profile link upon image hover","chromium","Wed Jul 09 08:55:41 WIB 2025","passed","Wed Jul 09 08:55:46 WIB 2025","","hover-and-slider.spec.ts","",""
"","3664","Should user select option 1 and 2 from the dropdown","chromium","Wed Jul 09 08:55:33 WIB 2025","passed","Wed Jul 09 08:55:37 WIB 2025","","drag-drop-dropdown.spec.ts","",""
"","4115","Should be able to move the slider to 2.5","Mobile Chrome","Wed Jul 09 08:56:12 WIB 2025","passed","Wed Jul 09 08:56:16 WIB 2025","","hover-and-slider.spec.ts","",""
"","5013","Should be able to move the slider to 2.5","Microsoft Edge","Wed Jul 09 08:56:54 WIB 2025","passed","Wed Jul 09 08:56:59 WIB 2025","","hover-and-slider.spec.ts","",""
"","7799","Should user drag box A to box B","Microsoft Edge","Wed Jul 09 08:56:40 WIB 2025","passed","Wed Jul 09 08:56:47 WIB 2025","","drag-drop-dropdown.spec.ts","",""
"","3849","Should display alert after right-click on context menu box","chromium","Wed Jul 09 08:55:29 WIB 2025","passed","Wed Jul 09 08:55:33 WIB 2025","","context-menu.spec.ts","",""
"","3735","Should user select option 1 and 2 from the dropdown","Mobile Chrome","Wed Jul 09 08:56:02 WIB 2025","passed","Wed Jul 09 08:56:06 WIB 2025","","drag-drop-dropdown.spec.ts","",""
"","4637","Should user see ad modal on page open","chromium","Wed Jul 09 08:55:29 WIB 2025","passed","Wed Jul 09 08:55:34 WIB 2025","","close-modal-and-floating-menu-presence.spec.ts","",""
"","10098","Should user check multiple checkboxes","chromium","Wed Jul 09 08:55:16 WIB 2025","passed","Wed Jul 09 08:55:26 WIB 2025","","check-and-uncheck.spec.ts","",""
"","7412","Should user see ad modal on page open","Microsoft Edge","Wed Jul 09 08:56:32 WIB 2025","passed","Wed Jul 09 08:56:39 WIB 2025","","close-modal-and-floating-menu-presence.spec.ts","",""
"","20137","Should user add and delete multiple items","Mobile Chrome","Wed Jul 09 08:55:53 WIB 2025","passed","Wed Jul 09 08:56:13 WIB 2025","","add-and-remove-element.spec.ts","",""
"","8597","Should user check multiple checkboxes","Microsoft Edge","Wed Jul 09 08:56:26 WIB 2025","passed","Wed Jul 09 08:56:35 WIB 2025","","check-and-uncheck.spec.ts","",""
"","5057","Should user able to download file","chromium","Wed Jul 09 08:55:46 WIB 2025","passed","Wed Jul 09 08:55:51 WIB 2025","","upload-download-file.spec.ts","",""
"","4711","Should login using valid credential","Microsoft Edge","Wed Jul 09 08:56:55 WIB 2025","passed","Wed Jul 09 08:57:00 WIB 2025","","login-with-valid-and-invalid-credentials.spec.ts","",""
"","4435","Should user check single checkbox","Mobile Chrome","Wed Jul 09 08:55:54 WIB 2025","passed","Wed Jul 09 08:55:58 WIB 2025","","check-and-uncheck.spec.ts","",""
"","3308","Should user is able to upload file","Mobile Chrome","Wed Jul 09 08:56:15 WIB 2025","passed","Wed Jul 09 08:56:18 WIB 2025","","upload-download-file.spec.ts","",""
"","3758","Should handle js alert type correctly","Mobile Chrome","Wed Jul 09 08:56:03 WIB 2025","passed","Wed Jul 09 08:56:07 WIB 2025","","handle-alert.spec.ts","",""
"","4482","Should handle js prompt type correctly","Mobile Chrome","Wed Jul 09 08:56:06 WIB 2025","passed","Wed Jul 09 08:56:10 WIB 2025","","handle-alert.spec.ts","",""
"","4340","Should reveal first name and profile link upon image hover","Mobile Chrome","Wed Jul 09 08:56:07 WIB 2025","passed","Wed Jul 09 08:56:12 WIB 2025","","hover-and-slider.spec.ts","",""
"","4000","Should login using valid credential","Mobile Chrome","Wed Jul 09 08:56:13 WIB 2025","passed","Wed Jul 09 08:56:17 WIB 2025","","login-with-valid-and-invalid-credentials.spec.ts","",""
"","4790","Should user able to download file","Mobile Chrome","Wed Jul 09 08:56:14 WIB 2025","passed","Wed Jul 09 08:56:18 WIB 2025","","upload-download-file.spec.ts","",""
"","5096","Should handle js alert type correctly","Microsoft Edge","Wed Jul 09 08:56:44 WIB 2025","passed","Wed Jul 09 08:56:49 WIB 2025","","handle-alert.spec.ts","",""
"","22911","Should user add and delete multiple items","Microsoft Edge","Wed Jul 09 08:56:27 WIB 2025","passed","Wed Jul 09 08:56:50 WIB 2025","","add-and-remove-element.spec.ts","",""
"","6320","Should display alert after right-click on context menu box","Microsoft Edge","Wed Jul 09 08:56:37 WIB 2025","passed","Wed Jul 09 08:56:43 WIB 2025","","context-menu.spec.ts","",""
"","3288","Should user is able to upload file","chromium","Wed Jul 09 08:55:46 WIB 2025","passed","Wed Jul 09 08:55:49 WIB 2025","","upload-download-file.spec.ts","",""
"","4023","Should reveal third name and profile link upon image hover","Mobile Chrome","Wed Jul 09 08:56:10 WIB 2025","passed","Wed Jul 09 08:56:15 WIB 2025","","hover-and-slider.spec.ts","",""
"","3753","Should user drag box A to box B","Mobile Chrome","Wed Jul 09 08:56:01 WIB 2025","passed","Wed Jul 09 08:56:04 WIB 2025","","drag-drop-dropdown.spec.ts","",""
